Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS
430.0,Cedi Osman,SF,26.0,13.3,0.2,0.8,2.9,0.349673202614379,0.1851851851851851,0.1496598639455782,0.5134404877372869,0.622,5.23
432.0,Kelly Oubre Jr.,SF,26.0,14.9,-1.4,0.3,3.3,0.4901960784313725,0.1018518518518518,0.272108843537415,0.7008798669807399,0.329,-5.89
435.0,Kevin Pangos,PG,29.0,6.5,-6.1,-0.2,0.1,0.0522875816993464,0.1203703703703703,0.0340136054421768,0.0592004988222253,0.622,5.23
437.0,Eric Paschall,PF,25.0,13.9,-0.5,0.3,2.0,0.1895424836601307,0.0555555555555555,0.1224489795918367,0.2590065124012747,0.451,-1.03
438.0,Chris Paul,PG,36.0,20.8,5.4,4.0,9.4,0.480392156862745,1.0,0.2993197278911565,0.7516627407510046,0.549,2.08
439.0,Cameron Payne,PG,27.0,13.8,0.0,0.7,1.9,0.3529411764705882,0.4537037037037037,0.2040816326530612,0.4496328114174864,0.549,2.08
440.0,Elfrid Payton,PG,27.0,7.9,-3.5,-0.2,-0.2,0.0980392156862745,0.1851851851851851,0.1224489795918367,0.1932936123042815,0.549,2.08
441.0,Gary Payton II,SG,29.0,17.8,3.7,1.8,5.2,0.2320261437908496,0.0833333333333333,0.2380952380952381,0.4377165027019536,0.537,1.66
443.0,Reggie Perry,PF,21.0,16.2,-3.8,-0.1,0.2,0.326797385620915,0.1203703703703703,0.3469387755102041,0.0674449217126229,0.402,-3.96
444.0,Jamorko Pickett,PF,24.0,7.6,-5.0,-0.1,0.1,0.1241830065359477,0.0462962962962962,0.1700680272108843,0.0649508105861161,0.207,-7.73
445.0,Theo Pinson,SF,26.0,11.9,-0.5,0.1,0.4,0.0816993464052287,0.0833333333333333,0.0748299319727891,0.0532769848967715,0.463,-0.14
446.0,Mason Plumlee,C,31.0,14.7,0.0,0.9,4.7,0.2124183006535947,0.287037037037037,0.5238095238095238,0.6289316890674795,0.329,-5.89
447.0,Jakob Poeltl,C,26.0,20.8,1.6,1.7,6.9,0.4411764705882353,0.2592592592592592,0.6326530612244898,0.6917694332825273,0.268,-9.82
448.0,Aleksej Pokusevski,PF,20.0,12.0,-2.6,-0.2,0.4,0.2483660130718954,0.1944444444444444,0.3537414965986394,0.4334210890951919,0.488,0.96
450.0,Jordan Poole,SG,22.0,16.1,1.0,1.7,6.0,0.6045751633986928,0.3703703703703703,0.2312925170068027,0.8005403907440765,0.537,1.66
451.0,Kevin Porter Jr.,PG,21.0,13.5,-1.6,0.2,0.8,0.5098039215686274,0.5740740740740741,0.2993197278911565,0.670742690868782,0.268,-7.62
452.0,Michael Porter Jr.,SF,23.0,7.5,-3.5,-0.1,-0.2,0.3235294117647059,0.1759259259259259,0.4489795918367347,0.1012886240820285,0.646,3.04
453.0,Otto Porter Jr.,PF,28.0,15.9,3.1,1.8,4.9,0.2679738562091503,0.1388888888888888,0.3877551020408163,0.4905778024109741,0.537,1.66
